Alignment_name	No_of_taxa	Alignment_length	Total_matrix_cells	Undetermined_characters	Missing_percent	No_variable_sites	Proportion_variable_sites	Parsimony_informative_sites	Proportion_parsimony_informative	A	C	D	E	F	G	H	I	K	L	M	N	P	Q	R	S	T	V	W	Y	B	J	Z	X	.	*	-	?
OG1002.nex	343	613	210259	2787	1.326	398	0.649	339	0.553	21773	928	13910	15757	9164	14235	1722	12379	16049	16683	2727	8174	6893	7441	9210	14043	16030	16976	343	3035	0	0	0	1842	0	0	945	0
OG1004.nex	343	978	335454	14829	4.421	888	0.908	855	0.874	20239	3934	18561	23826	11654	16904	5750	21880	23551	27996	8797	13195	15161	14330	19389	23684	18495	20806	2020	10453	0	0	0	8811	0	0	6018	0
OG1008.nex	343	1083	371469	9582	2.579	861	0.795	811	0.749	24688	5295	16889	21812	19286	20408	6069	29045	20347	38778	7717	15730	11158	14550	15766	25153	23442	24581	5611	15562	0	0	0	8664	0	0	918	0
OG1009.nex	343	395	135485	8395	6.196	310	0.785	289	0.732	6481	1557	9291	7089	4556	7523	1966	10628	9518	10683	4298	4989	2998	7105	7146	8376	8234	10118	969	3565	0	0	0	7900	0	0	495	0
OG1028.nex	343	1463	501809	10874	2.167	1150	0.786	1076	0.735	31824	8472	31163	29759	18544	34420	9380	32913	37475	45649	13463	23907	21818	17115	27285	32932	24203	35521	2853	12239	0	0	0	5853	0	0	5021	0
OG1037.nex	343	681	233583	3586	1.535	550	0.808	528	0.775	15560	1026	16808	21365	5784	13161	3726	17422	18754	27772	4561	7464	7500	8443	15420	14013	11428	14676	589	4525	0	0	0	2728	0	0	858	0
OG1039.nex	343	731	250733	4253	1.696	538	0.736	482	0.659	19746	3283	13958	15528	10000	22290	5134	16206	15214	20916	6185	12554	13568	7745	8220	16261	16841	13538	3011	6282	0	0	0	3655	0	0	598	0
OG1054.nex	343	989	339227	46761	13.785	846	0.855	816	0.825	23072	4053	17200	19509	10962	24604	6284	18694	17089	25122	5518	13084	8942	8793	15295	23031	17725	22233	3313	7943	0	0	0	37585	0	0	9176	0
OG1061.nex	343	517	177331	31323	17.664	442	0.855	402	0.778	11012	2385	8305	12801	6209	10708	2690	7638	10210	14950	2688	2947	6402	4993	7718	8167	9052	9848	1144	6141	0	0	0	31020	0	0	303	0
OG1064.nex	343	1300	445900	84363	18.92	1290	0.992	1279	0.984	19649	4651	18851	19173	17347	17758	7986	27646	19949	47814	8663	18217	13766	11399	15781	32783	20638	22308	4393	12765	0	0	0	78002	0	0	6361	0
OG1066.nex	343	866	297038	105417	35.489	776	0.896	734	0.848	11849	2333	11998	13646	7743	10812	6328	13904	12285	18282	5358	9145	6966	5607	8237	15856	10386	13888	1440	5558	0	0	0	77942	0	0	27475	0
OG1099.nex	343	285	97755	43216	44.208	277	0.972	272	0.954	2972	966	3176	2806	3337	3183	1441	4040	2883	5317	921	2793	2823	1697	1890	4467	3361	3497	501	2468	0	0	0	37905	0	0	5311	0
OG1149.nex	343	330	113190	36031	31.832	295	0.894	280	0.848	4206	371	4605	6197	2477	2293	1333	4284	6586	11052	1793	2715	2653	3539	5239	5201	4157	4971	708	2779	0	0	0	35971	0	0	60	0
OG1170.nex	343	524	179732	71582	39.827	413	0.788	380	0.725	9015	953	6113	6510	4378	6778	3287	7265	7104	9970	2347	4994	5746	3848	6181	4466	6058	7125	1837	4175	0	0	0	71264	0	0	318	0
OG1173.nex	343	821	281603	39857	14.154	777	0.946	765	0.932	12691	2126	13841	19062	6964	9703	4317	16527	21188	25300	5042	18359	4108	12456	11107	24332	15594	12978	393	5658	0	0	0	29558	0	0	10299	0
OG1223.nex	343	236	80948	4379	5.41	198	0.839	175	0.742	6049	648	3993	4929	2201	5679	1195	3819	9490	6018	1079	2241	2704	4228	8246	3033	3372	5591	14	2040	0	0	0	4248	0	0	131	0
