taxon,locus_counts, total_chars, missing_data,proportion_missing_data,gc_content,at_content,nucleotides,?,-,A,C,G,T,N,R,Y,S,W,K,M,B,D,H,V,.
CONGOPHILLIPSORUM_FMNH177682,2748,3820762,2300982,0.6022311779692113,0.16084356994756543,0.23692525208322318,0.3977688220307886,0,2300982,454602,306834,307711,450633,0,0,0,0,0,0,0,0,0,0,0,0
CROBATAKORUM_KU165320,2891,4012437,2080499,0.5185125648078711,0.18859112305065476,0.2928963121414741,0.4814874351921289,0,2080499,590205,378653,378057,585023,0,0,0,0,0,0,0,0,0,0,0,0
CROGOLIATH_FMNH167692,3002,4169488,2619281,0.6282020718131339,0.14623450169421282,0.2255634264926533,0.37179792818686613,0,2619281,472498,305263,304460,467986,0,0,0,0,0,0,0,0,0,0,0,0
CROHORSEFIELDII_NK10645,3121,4313125,2267554,0.5257334299376902,0.1884496739602956,0.2858168961020142,0.4742665700623098,0,2267554,617095,407408,405399,615669,0,0,0,0,0,0,0,0,0,0,0,0
CROPALAWANENSIS_FMNH195224,1809,2509661,1268259,0.5053507226673244,0.20520699807663267,0.28944227925604293,0.4946492773326756,0,1268259,364448,257211,257789,361954,0,0,0,0,0,0,0,0,0,0,0,0
CROSIBERICA_TK146501,2877,3984732,2367455,0.5941315501268342,0.1631356889246253,0.24273276094854057,0.4058684498731659,0,2367455,485266,324875,325177,481959,0,0,0,0,0,0,0,0,0,0,0,0
Crocidura_LSUMZ39271,3045,4288858,1449575,0.337986242491591,0.2612539282018663,0.4007598293065427,0.662013757508409,0,1449575,861615,560822,559659,857187,0,0,0,0,0,0,0,0,0,0,0,0
Crocidura_LSUMZ39281,2789,3978210,1729520,0.4347482913169491,0.2199725504686781,0.34527915821437277,0.565251708683051,0,1729520,688077,438212,436885,685516,0,0,0,0,0,0,0,0,0,0,0,0
Crocidura_LSUMZ39283,2764,3955482,1776267,0.449064614628508,0.21634632644011526,0.33458905893137675,0.550935385371492,0,1776267,663065,429217,426537,660396,0,0,0,0,0,0,0,0,0,0,0,0
Crocidura_australis_Bawakaraeng_MVZ237610_NMV_Z57224,781,1093467,833178,0.7619598945372837,0.09857819211736614,0.13946191334535016,0.23804010546271628,0,833178,76219,53746,54046,76278,0,0,0,0,0,0,0,0,0,0,0,0
Crocidura_australis_Bawakaraeng_MZB40991_NMV_Z57198,937,1298399,946774,0.7291857125583122,0.11656355249811498,0.1542507349435728,0.2708142874416878,0,946774,101192,75420,75926,99087,0,0,0,0,0,0,0,0,0,0,0,0
